Customer Name,Total Spent,Total Orders,Average Purchase,Average Monthly Spend,Average Monthly Orders,Last Ordered,Customer Since,Customer Lifetime
Customer6513,"$2,995.82",64,$46.81,$65.13,1,"Jun 08, 2023","Apr 06, 2020",3 yrs 9 mos 9 dys
Customer9114,"$2,902.17",21,$138.20,$54.76,0,"May 19, 2023","Sep 03, 2019",4 yrs 4 mos 11 dys
Customer6041,"$2,041.59",170,$12.01,$22.44,1,"Dec 08, 2021","Jun 22, 2016",7 yrs 6 mos 23 dys
Customer1124,$619.83,38,$16.31,$13.77,0,"Dec 23, 2023","May 01, 2020",3 yrs 8 mos 13 dys
Customer3261,$108.96,2,$54.48,$9.91,0,"Mar 02, 2023","Mar 06, 2021",10 mos 24 dys
Customer5155,$108.92,3,$36.31,$1.60,0,"Mar 31, 2019","Aug 31, 2016",5 yrs 7 mos 14 dys
Customer6644,$108.76,1,$108.76,$36.25,0,"Nov 08, 2023","Jan 05, 2018",2 mos 7 dys
Customer8684,$108.69,6,$18.12,$2.42,0,"Jul 18, 2021","May 30, 2015",3 yrs 8 mos 28 dys
Customer7344,$108.41,1,$108.41,$21.68,0,"Aug 19, 2023","Oct 31, 2021",4 mos 26 dys
Customer7335,$108.37,2,$54.19,$1.59,0,"Jan 12, 2020","May 19, 2018",5 yrs 7 mos 26 dys
Customer9318,$108.27,4,$27.07,$21.65,0,"Jan 10, 2024","Sep 12, 2023",4 mos 2 dys
Customer7305,$108.17,1,$108.17,$4.92,0,"Apr 04, 2022","Dec 28, 2015",1 yr 9 mos 11 dys
Customer2549,$108.01,1,$108.01,$3.86,0,"Oct 01, 2021","Oct 30, 2020",2 yrs 3 mos 14 dys
Customer9648,$107.93,3,$35.98,$1.96,0,"Feb 04, 2023","Apr 30, 2017",4 yrs 6 mos 29 dys
Customer4712,$618.27,96,$6.44,$6.18,0,"Sep 05, 2017","Sep 19, 2015",8 yrs 3 mos 27 dys
Customer7203,$107.84,2,$53.92,$3.99,0,"Aug 28, 2023","Oct 23, 2020",2 yrs 2 mos 5 dys
Customer6161,$107.82,3,$35.94,$10.78,0,"Nov 18, 2023","May 09, 2013",9 mos 27 dys
Customer1959,$107.81,2,$53.91,$2.57,0,"Jun 30, 2023","Jul 24, 2020",3 yrs 5 mos 21 dys
Customer1758,$107.80,2,$53.90,$2.11,0,"Jul 10, 2022","Oct 19, 2019",4 yrs 2 mos 26 dys
Customer5320,$107.78,1,$107.78,$1.77,0,"Dec 27, 2018","Dec 27, 2018",5 yrs 18 dys
Customer1676,$107.74,1,$107.74,$1.07,0,"Aug 17, 2015","Aug 04, 2015",8 yrs 4 mos 28 dys
Customer7661,$107.64,5,$21.53,$6.73,0,"Dec 01, 2023","Apr 30, 2016",1 yr 3 mos 6 dys
Customer1051,$107.63,2,$53.82,$2.99,0,"Sep 05, 2023","Jun 20, 2020",2 yrs 11 mos 27 dys
Customer9410,$107.36,3,$35.79,$1.85,0,"Sep 22, 2019","Dec 20, 2017",4 yrs 9 mos 21 dys
Customer6852,$107.32,1,$107.32,$2.28,0,"Feb 24, 2020","Oct 30, 2016",3 yrs 10 mos 21 dys
Customer4787,$612.40,18,$34.02,$16.55,0,"Dec 19, 2023","Jan 06, 2021",3 yrs 8 dys
Customer9528,$107.30,1,$107.30,$1.56,0,"Apr 20, 2018","Apr 18, 2018",5 yrs 8 mos 25 dys
Customer3516,$107.13,5,$21.43,$2.68,0,"Nov 20, 2023","Oct 02, 2020",3 yrs 3 mos 13 dys
Customer5587,$107.10,2,$53.55,$2.89,0,"Feb 10, 2021","Nov 12, 2019",3 yrs 1 dy
Customer4234,$106.85,2,$53.43,$3.14,0,"Jul 24, 2021","Apr 18, 2016",2 yrs 9 mos 25 dys
Customer6629,$106.62,1,$106.62,$2.18,0,"Jan 05, 2020","Jan 05, 2020",4 yrs 9 dys
Customer9731,$106.58,7,$15.23,$2.54,0,"Sep 10, 2022","Oct 03, 2017",3 yrs 5 mos 3 dys
Customer2573,$106.36,3,$35.45,$7.09,0,"Sep 10, 2023","Oct 16, 2022",1 yr 2 mos 29 dys
Customer5928,$106.36,2,$53.18,$3.22,0,"Sep 26, 2022","Aug 09, 2020",2 yrs 8 mos 26 dys
Customer2010,$106.17,2,$53.09,$1.86,0,"Jun 23, 2021","Feb 11, 2018",4 yrs 8 mos 21 dys
Customer1328,$106.15,5,$21.23,$1.02,0,"Oct 17, 2017","Jun 05, 2015",8 yrs 7 mos 10 dys
Customer3843,$612.35,7,$87.48,$19.75,0,"Oct 25, 2023","Jul 10, 2020",2 yrs 6 mos 28 dys
Customer6841,$106.13,9,$11.79,$10.61,0,"Dec 30, 2023","Dec 06, 2020",9 mos 13 dys
Customer3476,$106.12,1,$106.12,$2.47,0,"Jul 01, 2020","Jun 30, 2020",3 yrs 6 mos 14 dys
Customer2240,$106.11,1,$106.11,$4.82,0,"Mar 17, 2022","Sep 30, 2021",1 yr 9 mos 28 dys
Customer8882,$106.00,14,$7.57,$7.57,1,"Jan 12, 2024","Sep 01, 2015",1 yr 1 mo 5 dys
Customer1012,$105.87,1,$105.87,$13.23,0,"Jun 04, 2023","Jun 03, 2023",7 mos 10 dys
Customer3181,$105.84,1,$105.84,$9.62,0,"Mar 08, 2023","Sep 05, 2018",10 mos 6 dys
Customer8536,$105.80,8,$13.23,$2.03,0,"Jun 19, 2022","Aug 12, 2019",4 yrs 3 mos 2 dys
Customer1865,$105.77,5,$21.15,$4.81,0,"Jul 03, 2023","Apr 15, 2022",1 yr 8 mos 30 dys
Customer6503,$105.69,1,$105.69,$3.52,0,"Aug 14, 2021","May 16, 2018",2 yrs 5 mos
Customer4552,$105.53,4,$26.38,$1.08,0,"Mar 29, 2016","Nov 18, 2015",8 yrs 1 mo 28 dys
Customer9052,$607.88,17,$35.76,$16.43,0,"Aug 21, 2023","Sep 30, 2017",3 yrs 7 dys
Customer9804,$105.50,4,$26.38,$2.57,0,"Jan 08, 2023","Jul 05, 2015",3 yrs 4 mos 15 dys
Customer1250,$105.34,1,$105.34,$2.57,0,"Aug 27, 2020","Aug 27, 2020",3 yrs 4 mos 18 dys
Customer9240,$105.31,2,$52.66,$2.77,0,"Feb 28, 2021","Oct 20, 2019",3 yrs 1 mo 17 dys
Customer5205,$105.30,4,$26.33,$2.70,0,"Apr 13, 2022","Sep 19, 2020",3 yrs 2 mos 6 dys
Customer6434,$105.22,5,$21.04,$3.90,0,"May 16, 2023","Oct 16, 2021",2 yrs 2 mos 29 dys
Customer4891,$105.19,5,$21.04,$3.19,0,"Feb 13, 2023","Jun 19, 2020",2 yrs 8 mos 5 dys
Customer3952,$105.14,2,$52.57,$2.10,0,"Mar 03, 2021","Aug 31, 2017",4 yrs 1 mo 9 dys
Customer3683,$105.02,2,$52.51,$2.92,0,"Apr 20, 2021","Mar 20, 2020",2 yrs 11 mos 21 dys
Customer9887,$104.99,10,$10.50,$3.75,0,"Apr 14, 2023","Aug 05, 2021",2 yrs 3 mos 7 dys
Customer7269,$104.93,8,$13.12,$3.62,0,"Nov 22, 2022","Dec 21, 2013",2 yrs 4 mos 6 dys
Customer4210,$605.40,13,$46.57,$17.30,0,"Apr 03, 2023","Aug 31, 2020",2 yrs 10 mos 6 dys
Customer7566,$104.79,3,$34.93,$1.38,0,"Jun 10, 2019","Sep 29, 2017",6 yrs 3 mos 17 dys
Customer3178,$104.78,3,$34.93,$6.16,0,"Sep 27, 2023","Apr 16, 2020",1 yr 4 mos
Customer5693,$104.41,2,$52.21,$3.73,0,"May 07, 2023","May 18, 2015",2 yrs 3 mos 27 dys
Customer2472,$104.38,3,$34.79,$4.74,0,"May 10, 2022","Apr 06, 2022",1 yr 9 mos 9 dys
Customer3840,$104.11,5,$20.82,$2.67,0,"May 13, 2022","Nov 03, 2020",3 yrs 2 mos 11 dys
Customer3008,$103.86,10,$10.39,$1.73,0,"Dec 10, 2020","Jan 27, 2018",4 yrs 11 mos 8 dys
Customer6486,$103.70,4,$25.93,$2.36,0,"Aug 19, 2023","May 28, 2020",3 yrs 7 mos 18 dys
Customer7794,$103.58,1,$103.58,$2.25,0,"Apr 08, 2020","Apr 08, 2020",3 yrs 9 mos 7 dys
Customer6535,$103.57,4,$25.89,$1.18,0,"Dec 23, 2019","Oct 04, 2016",7 yrs 3 mos 11 dys
Customer8454,$103.46,1,$103.46,$2.03,0,"Oct 20, 2019","Oct 19, 2019",4 yrs 2 mos 26 dys
Customer5265,$598.30,18,$33.24,$23.93,0,"Jan 08, 2024","Oct 17, 2020",2 yrs 2 dys
Customer6037,$103.35,2,$51.68,$1.25,0,"May 19, 2017","Sep 09, 2016",6 yrs 10 mos 11 dys
Customer9287,$103.27,3,$34.42,$10.33,0,"Jan 06, 2024","Jan 09, 2023",9 mos 19 dys
Customer5577,$103.19,2,$51.60,$20.64,0,"Dec 12, 2023","May 09, 2016",4 mos 1 dy
Customer1421,$103.01,1,$103.01,$3.32,0,"Jun 26, 2021","Jun 24, 2021",2 yrs 6 mos 20 dys
Customer4732,$102.92,4,$25.73,$3.22,0,"Dec 09, 2021","Jun 07, 2021",2 yrs 7 mos 7 dys
Customer2490,$102.78,1,$102.78,$5.14,0,"Jun 12, 2022","Apr 17, 2016",1 yr 7 mos 2 dys
Customer7097,$102.78,3,$34.26,$1.61,0,"Nov 25, 2023","Oct 06, 2018",5 yrs 3 mos 8 dys
Customer9159,$102.73,6,$17.12,$2.63,0,"Mar 22, 2022","Mar 10, 2019",3 yrs 2 mos 9 dys
Customer2171,$102.72,2,$51.36,$14.67,0,"Jul 15, 2023","Sep 23, 2020",6 mos 28 dys
Customer8567,$102.54,1,$102.54,$1.51,0,"May 17, 2018","May 17, 2018",5 yrs 7 mos 29 dys
Customer6808,$595.91,49,$12.16,$15.28,1,"Aug 31, 2023","Nov 06, 2020",3 yrs 2 mos 8 dys
Customer7114,$102.54,1,$102.54,$1.97,0,"Sep 21, 2019","Apr 17, 2016",4 yrs 3 mos 24 dys
Customer9685,$102.46,2,$51.23,$2.56,0,"Oct 26, 2020","Aug 31, 2020",3 yrs 3 mos 8 dys
Customer4785,$102.39,4,$25.60,$2.18,0,"Oct 22, 2020","Jun 11, 2015",3 yrs 10 mos 9 dys
